Room_no,Month,Day,Hour,Consumption_kWh,Average_Consumption_kWh,Wastage_kWh
4,1,2,14,0.1,0.51,0
4,1,2,15,3.11,1.41,1.7
4,1,2,16,1.65,1.17,0.48
4,1,2,17,2.43,1.2,1.23
4,1,2,18,1.07,1.5,0
4,1,2,19,2.86,0.91,1.95
4,1,2,20,3.12,1.32,1.8
4,1,2,21,2.47,0.76,1.71
4,1,2,22,2.97,1.11,1.86
4,1,2,23,2.8,0.89,1.91
4,1,3,0,1.07,0.54,0.53
4,1,3,1,1.27,0.94,0.33
4,1,3,2,3.16,1.66,1.5
4,1,3,3,3.66,1.95,1.71
4,1,3,4,2.29,1.68,0.61
4,1,3,5,2.83,1.45,1.38
4,1,3,6,2.55,1.47,1.08
4,1,3,7,3.08,1.82,1.26
4,1,3,8,2.67,1.42,1.25
4,1,3,9,1.33,1.5,0
4,1,3,10,3.31,1.63,1.68
4,1,3,11,2.76,1.23,1.53
4,1,3,12,3.15,1.36,1.79
4,1,3,13,1.7,1.23,0.47
4,1,3,14,0.89,1.11,0
4,1,3,15,1.91,1.97,0
4,1,3,16,1.84,1.28,0.56
4,1,3,17,2.41,1.07,1.34
4,1,3,18,1.77,1.14,0.63
4,1,3,19,0.55,0.55,0
4,1,3,20,2.98,1.45,1.53
4,1,3,21,0.91,0.72,0.19
4,1,3,22,3.25,1.84,1.41
4,1,3,23,2.53,0.96,1.57
4,1,4,0,2.44,1.86,0.58
4,1,4,1,0.91,1.01,0
4,1,4,2,0.95,0.56,0.39
4,1,4,3,2.45,0.68,1.77
4,1,4,4,1.74,1,0.74
4,1,4,5,0.9,0.59,0.31
4,1,4,6,3.13,1.34,1.79
4,1,4,7,1.3,0.81,0.49
4,1,4,8,2.25,1.72,0.53
4,1,4,9,2.72,1.72,1
4,1,4,10,0.97,1.14,0
4,1,4,11,0.48,0.8,0
4,1,4,12,0.93,1.32,0
4,1,4,13,0.87,0.55,0.32
4,1,4,14,0.97,0.72,0.25
4,1,4,15,1.96,0.66,1.3
4,1,4,16,2.22,1.99,0.23
4,1,4,17,2.22,1.26,0.96
4,1,4,18,0.59,0.85,0
4,1,4,19,1.52,1.58,0
4,1,4,20,2.21,1.09,1.12
4,1,4,21,0.51,0.73,0
4,1,4,22,1.25,1.73,0
4,1,4,23,1.2,0.64,0.56
4,1,5,0,1.07,0.55,0.52
4,1,5,1,2.45,1.2,1.25
4,1,5,2,2.93,1.92,1.01
4,1,5,3,3.22,1.77,1.45
4,1,5,4,3.2,1.77,1.43
4,1,5,5,1.65,0.61,1.04
4,1,5,6,1.08,1.37,0
4,1,5,7,3.45,1.7,1.75
4,1,5,8,2.19,1.9,0.29
4,1,5,9,1.44,1.63,0
4,1,5,10,2.37,0.72,1.65
4,1,5,11,0.83,1.15,0
4,1,5,12,3.56,1.77,1.79
4,1,5,13,3.24,1.6,1.64
4,1,5,14,1.33,0.75,0.58
4,1,5,15,3.1,1.54,1.56
4,1,5,16,3.08,1.37,1.71
4,1,5,17,1.62,1.57,0.05
4,1,5,18,3.01,1.67,1.34
4,1,5,19,1.92,0.73,1.19
4,1,5,20,0.72,0.88,0
4,1,5,21,1.71,0.52,1.19
4,1,5,22,2.98,1.72,1.26
4,1,5,23,0.02,0.51,0
4,1,6,0,2.36,0.74,1.62
4,1,6,1,0.4,0.87,0
4,1,6,2,2.48,1.92,0.56
4,1,6,3,2.54,1.93,0.61
4,1,6,4,3.15,1.23,1.92
4,1,6,5,1.22,0.56,0.66
4,1,6,6,1.69,1.53,0.16
4,1,6,7,1.01,0.55,0.46
4,1,6,8,0.95,0.72,0.23
4,1,6,9,3.8,1.84,1.96
4,1,6,10,1.08,0.72,0.36
4,1,6,11,1.67,1.03,0.64
4,1,6,12,2.44,0.5,1.94
4,1,6,13,1.28,0.91,0.37
4,1,6,14,1.92,1.88,0.04
4,1,6,15,1.74,1.99,0
4,1,6,16,2.22,1.48,0.74
4,1,6,17,2.09,1.81,0.28
4,1,6,18,1.69,1.7,0
4,1,6,19,0.75,0.53,0.22
4,1,6,20,2.61,0.64,1.97
4,1,6,21,2.52,0.62,1.9
4,1,6,22,2.57,0.66,1.91
4,1,6,23,1.41,0.53,0.88
4,1,7,0,2.65,0.88,1.77
4,1,7,1,2.4,0.85,1.55
4,1,7,2,1.47,1.45,0.02
4,1,7,3,0.89,0.8,0.09
4,1,7,4,3.05,1.08,1.97
4,1,7,5,2.75,1.26,1.49
4,1,7,6,1.11,0.78,0.33
4,1,7,7,2.24,1.13,1.11
4,1,7,8,3.18,1.26,1.92
4,1,7,9,3.03,1.57,1.46
4,1,7,10,0.23,0.64,0
4,1,7,11,1.07,1.32,0
4,1,7,12,1.99,1.51,0.48
4,1,7,13,3.16,1.32,1.84
4,1,7,14,2.18,0.54,1.64
4,1,7,15,2.39,1.4,0.99
4,1,7,16,2.03,1,1.03
4,1,7,17,1.93,1.99,0
4,1,7,18,1.88,0.78,1.1
4,1,7,19,1.09,0.54,0.55
4,1,7,20,1.9,1.43,0.47
4,1,7,21,3.07,1.79,1.28
4,1,7,22,2.4,1.92,0.48
4,1,7,23,0.98,0.93,0.05
4,2,1,0,1.53,1.3,0.23
4,2,1,1,3,1.74,1.26
4,2,1,2,2.8,1.03,1.77
4,2,1,3,1.21,0.94,0.27
4,2,1,4,1.19,0.55,0.64
4,2,1,5,2.74,0.92,1.82
4,2,1,6,0.67,1.1,0
4,2,1,7,1.01,1.11,0
4,2,1,8,1.47,0.98,0.49
4,2,1,9,3.48,1.83,1.65
4,2,1,10,2.38,1.34,1.04
4,2,1,11,1.11,1.48,0
4,2,1,12,3.31,1.88,1.43
4,2,1,13,2.48,0.69,1.79
4,2,1,14,1.64,1.42,0.22
4,2,1,15,2.08,1.39,0.69
4,2,1,16,2.45,0.61,1.84
4,2,1,17,2,1.7,0.3
4,2,1,18,2.32,0.92,1.4
4,2,1,19,3.42,1.67,1.75
4,2,1,20,1.66,0.81,0.85
4,2,1,21,2.62,1.67,0.95
4,2,1,22,1.53,1.01,0.52
4,2,1,23,1.77,0.8,0.97
4,2,2,0,2.3,1.78,0.52
4,2,2,1,2.86,1.96,0.9
4,2,2,2,1.76,0.88,0.88
4,2,2,3,1.42,0.95,0.47
4,2,2,4,1.21,1.1,0.11
4,2,2,5,1.38,1.3,0.08
4,2,2,6,2.88,1.12,1.76
4,2,2,7,2,0.57,1.43
4,2,2,8,3.13,1.56,1.57
4,2,2,9,0.14,0.62,0
4,2,2,10,2.58,0.74,1.84
4,2,2,11,2.54,1.92,0.62
4,2,2,12,3.19,1.38,1.81
4,2,2,13,1.32,1.12,0.2
4,2,2,14,0.47,0.76,0
4,2,2,15,0.88,0.85,0.03
4,2,2,16,3.66,1.88,1.78
4,2,2,17,1.61,1.32,0.29
4,2,2,18,0.56,1.05,0
4,2,2,19,2.56,1.45,1.11
4,2,2,20,1.66,1.96,0
4,2,2,21,0.82,0.98,0
4,2,2,22,2.98,1.77,1.21
4,2,2,23,1.13,1.11,0.02
4,2,3,0,3.16,1.42,1.74
4,2,3,1,1.19,0.84,0.35
4,2,3,2,2.82,1.63,1.19
4,2,3,3,2.65,0.79,1.86
4,2,3,4,3.24,1.39,1.85
4,2,3,5,1.23,1.36,0
4,2,3,6,1.28,1.44,0
4,2,3,7,3.1,1.41,1.69
4,2,3,8,2.57,1.58,0.99
4,2,3,9,0.21,0.57,0
4,2,3,10,2.56,1.87,0.69
4,2,3,11,2.93,1.88,1.05
4,2,3,12,2.27,0.81,1.46
4,2,3,13,3.16,1.88,1.28
4,2,3,14,1.28,1.73,0
4,2,3,15,0.65,0.54,0.11
4,2,3,16,2.34,1.95,0.39
4,2,3,17,1.22,1.47,0
4,2,3,18,2.5,1.16,1.34
4,2,3,19,0.81,0.99,0
4,2,3,20,3.28,1.76,1.52
4,2,3,21,1.9,0.93,0.97
4,2,3,22,1.12,1.49,0
4,2,3,23,1.83,1.19,0.64
4,2,4,0,1.46,1.5,0
4,2,4,1,1.47,0.57,0.9
4,2,4,2,3.04,1.41,1.63
4,2,4,3,2.03,0.99,1.04
4,2,4,4,2.27,1.44,0.83
4,2,4,5,2.89,1.6,1.29
4,2,4,6,3.24,1.35,1.89
4,2,4,7,2.02,0.89,1.13
4,2,4,8,0.56,0.58,0
4,2,4,9,2.87,1.09,1.78
4,2,4,10,3.45,1.57,1.88
4,2,4,11,1.31,1,0.31
4,2,4,12,1.17,1.38,0
4,2,4,13,1.81,0.63,1.18
4,2,4,14,3.45,1.47,1.98
4,2,4,15,2.74,0.81,1.93
4,2,4,16,2.65,1.97,0.68
4,2,4,17,1.17,1.24,0
4,2,4,18,0.84,0.9,0
4,2,4,19,2.13,1.86,0.27
4,2,4,20,1.47,1.41,0.06
4,2,4,21,0.79,0.65,0.14
4,2,4,22,3,1.91,1.09
4,2,4,23,2.7,1.13,1.57
4,2,5,0,1.54,1.69,0
4,2,5,1,0.58,0.56,0.02
4,2,5,2,0.71,1.08,0
4,2,5,3,0.18,0.65,0
4,2,5,4,2.95,0.97,1.98
4,2,5,5,1.92,0.83,1.09
4,2,5,6,2.56,0.82,1.74
4,2,5,7,3.27,1.54,1.73
4,2,5,8,1.15,0.88,0.27
4,2,5,9,1.3,1.28,0.02
4,2,5,10,1.83,1.85,0
4,2,5,11,2,0.71,1.29
4,2,5,12,1.94,1.31,0.63
4,2,5,13,0.97,0.65,0.32
4,2,5,14,2.88,1.9,0.98
4,2,5,15,3.41,1.63,1.78
4,2,5,16,1.44,1.47,0
4,2,5,17,1.9,1.02,0.88
4,2,5,18,2.79,1.25,1.54
4,2,5,19,2.57,1.69,0.88
4,2,5,20,2.66,1.38,1.28
4,2,5,21,1.43,1.04,0.39
4,2,5,22,2.18,1.7,0.48
4,2,5,23,1.46,0.52,0.94
4,2,6,0,2.16,1.71,0.45
4,2,6,1,2.1,1.67,0.43
4,2,6,2,1.42,1.59,0
4,2,6,3,1.03,0.67,0.36
4,2,6,4,3.38,1.97,1.41
4,2,6,5,2.45,0.71,1.74
4,2,6,6,1.65,1.55,0.1
4,2,6,7,1.72,1.96,0
4,2,6,8,2.06,1.3,0.76
4,2,6,9,1.31,0.7,0.61
4,2,6,10,0.55,0.99,0
4,2,6,11,0.65,0.87,0
4,2,6,12,0.83,1.05,0
4,2,6,13,3.49,1.72,1.77
4,2,6,14,0.23,0.55,0
4,2,6,15,2.24,1.68,0.56
4,2,6,16,1.58,1.07,0.51
4,2,6,17,2.36,0.82,1.54
4,2,6,18,2.14,1.95,0.19
4,2,6,19,1.98,1.5,0.48
4,2,6,20,0.6,0.55,0.05
4,2,6,21,1.57,1.98,0
4,2,6,22,1.2,0.79,0.41
4,2,6,23,2.54,0.58,1.96
4,2,7,0,1.91,1.98,0
4,2,7,1,2.6,1.53,1.07
4,2,7,2,1.97,0.64,1.33
4,2,7,3,3.9,1.99,1.91
4,2,7,4,1.1,1.51,0
4,2,7,5,3.27,1.69,1.58
4,2,7,6,2.5,1.82,0.68
4,2,7,7,1.32,0.84,0.48
4,2,7,8,1.96,1.07,0.89
4,2,7,9,1.17,1.03,0.14
4,2,7,10,0.73,1.13,0
4,2,7,11,2.37,1.94,0.43
4,2,7,12,2.09,1.13,0.96
4,2,7,13,0.27,0.72,0
4,2,7,14,0.56,0.95,0
4,2,7,15,2.02,1.12,0.9
4,2,7,16,1.43,1.03,0.4
4,2,7,17,2.39,1.66,0.73
4,2,7,18,1.87,1.29,0.58
4,2,7,19,3.12,1.36,1.76
4,2,7,20,2.28,1.12,1.16
4,2,7,21,1.16,0.62,0.54
4,2,7,22,1.97,0.52,1.45
4,2,7,23,3.4,1.61,1.79
4,3,1,0,2.59,1.63,0.96
4,3,1,1,1.15,1.44,0
4,3,1,2,2.2,1.46,0.74
4,3,1,3,1.6,1.71,0
4,3,1,4,3.31,1.36,1.95
4,3,1,5,1.32,1.77,0
4,3,1,6,2.89,1.48,1.41
4,3,1,7,2.42,1.37,1.05
4,3,1,8,2.53,1.98,0.55
4,3,1,9,1.88,0.55,1.33
4,3,1,10,1.4,0.92,0.48
4,3,1,11,2.26,1.2,1.06
4,3,1,12,3.13,1.55,1.58
4,3,1,13,2.14,1.68,0.46
4,3,1,14,2.48,1.73,0.75
4,3,1,15,1.38,0.82,0.56
4,3,1,16,0.55,0.78,0
4,3,1,17,1.96,1.29,0.67
4,3,1,18,0.53,0.51,0.02
4,3,1,19,2.31,1.26,1.05
4,3,1,20,1.19,1.43,0
4,3,1,21,2.26,1.81,0.45
4,3,1,22,3.32,1.5,1.82
4,3,1,23,1.24,0.64,0.6
4,3,2,0,2.75,1.74,1.01
4,3,2,1,2.05,0.82,1.23
4,3,2,2,2.77,1.02,1.75
4,3,2,3,2.32,1.5,0.82
4,3,2,4,1.81,1.27,0.54
4,3,2,5,0.97,0.64,0.33
4,3,2,6,2.95,1.73,1.22
4,3,2,7,0.86,1.02,0
4,3,2,8,2.74,1.33,1.41
4,3,2,9,3.42,1.77,1.65
4,3,2,10,0.41,0.57,0
4,3,2,11,2.43,1.68,0.75
4,3,2,12,1.04,0.57,0.47
4,3,2,13,1.34,1,0.34
4,3,2,14,1.75,0.7,1.05
4,3,2,15,1.38,0.76,0.62
4,3,2,16,2.25,1.41,0.84
4,3,2,17,3.69,1.84,1.85
4,3,2,18,1.51,1.29,0.22
4,3,2,19,1.8,1.9,0
4,3,2,20,0.77,1.05,0
4,3,2,21,0.85,0.77,0.08
4,3,2,22,2.58,1.28,1.3
4,3,2,23,1.16,1.12,0.04
4,3,3,0,1.78,0.65,1.13
4,3,3,1,0.74,0.91,0
4,3,3,2,2.88,0.93,1.95
4,3,3,3,3.01,1.6,1.41
4,3,3,4,1.61,1.44,0.17
4,3,3,5,1.3,0.94,0.36
4,3,3,6,0.2,0.68,0
4,3,3,7,1.47,1.2,0.27
4,3,3,8,1.4,1.21,0.19
4,3,3,9,2.25,1.65,0.6
4,3,3,10,2.37,1.92,0.45
4,3,3,11,2.3,1.82,0.48
4,3,3,12,2.98,1.08,1.9
4,3,3,13,2.57,1.17,1.4
4,3,3,14,2.4,1.45,0.95
4,3,3,15,2.44,0.63,1.81
4,3,3,16,0.98,1.01,0
4,3,3,17,1.52,1.36,0.16
4,3,3,18,2.75,1.36,1.39
4,3,3,19,1.58,1.68,0
4,3,3,20,1.78,0.91,0.87
4,3,3,21,3.32,1.36,1.96
4,3,3,22,2.17,1.53,0.64
4,3,3,23,1.47,1.27,0.2
4,3,4,0,1.34,0.54,0.8
4,3,4,1,0.74,0.67,0.07
4,3,4,2,2.73,0.94,1.79
4,3,4,3,2.02,0.82,1.2
4,3,4,4,1.59,1.38,0.21
4,3,4,5,3.16,1.25,1.91
4,3,4,6,1.55,0.53,1.02
4,3,4,7,2.46,1.01,1.45
4,3,4,8,1.58,1.78,0
4,3,4,9,1.77,0.73,1.04
4,3,4,10,1.43,0.76,0.67
4,3,4,11,1.24,1.61,0
4,3,4,12,3.15,1.33,1.82
4,3,4,13,1.74,0.52,1.22
4,3,4,14,2.82,1.09,1.73
4,3,4,15,1.79,0.88,0.91
4,3,4,16,1.2,1.09,0.11
4,3,4,17,2.64,1.57,1.07
4,3,4,18,3.34,1.55,1.79
4,3,4,19,1.74,1.46,0.28
4,3,4,20,1.45,1.91,0
4,3,4,21,1.87,0.63,1.24
4,3,4,22,3.33,1.64,1.69
4,3,4,23,1.38,0.65,0.73
4,3,5,0,1.46,1.15,0.31
4,3,5,1,1.64,0.91,0.73
4,3,5,2,1.87,1.34,0.53
4,3,5,3,2.07,0.71,1.36
4,3,5,4,2.06,1.77,0.29
4,3,5,5,2.12,0.59,1.53
4,3,5,6,1.26,0.8,0.46
4,3,5,7,3.21,1.48,1.73
4,3,5,8,1.57,1.36,0.21
4,3,5,9,2.38,1.73,0.65
4,3,5,10,2.4,1.67,0.73
4,3,5,11,2.13,0.53,1.6
4,3,5,12,3.11,1.74,1.37
4,3,5,13,0.48,0.71,0
4,3,5,14,2.76,0.91,1.85
4,3,5,15,2.69,1,1.69
4,3,5,16,2.19,0.57,1.62
4,3,5,17,2.27,0.56,1.71
4,3,5,18,1.78,1.12,0.66
4,3,5,19,2.19,0.83,1.36
4,3,5,20,2.47,1.81,0.66
4,3,5,21,2.46,1.67,0.79
4,3,5,22,0.67,0.76,0
4,3,5,23,2.95,1.71,1.24
4,3,6,0,1.79,1.05,0.74
4,3,6,1,2.71,1.71,1
4,3,6,2,1.73,1.11,0.62
4,3,6,3,0.82,1.3,0
4,3,6,4,2.67,1.33,1.34
4,3,6,5,2.04,0.72,1.32
4,3,6,6,2.57,1.67,0.9
4,3,6,7,3.27,1.4,1.87
4,3,6,8,2.27,1,1.27
4,3,6,9,1.04,0.93,0.11
4,3,6,10,2.32,1.88,0.44
4,3,6,11,2.5,1.29,1.21
4,3,6,12,2.17,0.68,1.49
4,3,6,13,1.11,1.11,0
4,3,6,14,1.58,1.06,0.52
4,3,6,15,3.53,1.68,1.85
4,3,6,16,1.75,1.91,0
4,3,6,17,2.29,0.81,1.48
4,3,6,18,3.43,2,1.43
4,3,6,19,2.91,1.5,1.41
4,3,6,20,2.3,1.21,1.09
4,3,6,21,1.82,1.71,0.11
4,3,6,22,1.26,1.53,0
4,3,6,23,0.64,0.74,0
4,3,7,0,1.55,0.98,0.57
4,3,7,1,2.6,1.1,1.5
4,3,7,2,2.49,0.52,1.97
4,3,7,3,1.27,0.51,0.76
4,3,7,4,2.52,1.02,1.5
4,3,7,5,1.42,0.86,0.56
4,3,7,6,2.35,1.47,0.88
4,3,7,7,3.31,1.68,1.63
4,3,7,8,1.27,1.05,0.22
4,3,7,9,0.66,1.07,0
4,3,7,10,2.05,1.99,0.06
4,3,7,11,1.87,1.69,0.18
4,3,7,12,2.61,1.34,1.27
4,3,7,13,2.57,1.6,0.97
4,3,7,14,1.36,1.73,0
4,3,7,15,3.02,1.84,1.18
4,3,7,16,0.43,0.77,0
4,3,7,17,2.48,0.57,1.91
4,3,7,18,1.86,1.5,0.36
4,3,7,19,1.65,1.82,0
4,3,7,20,0.85,0.85,0
4,3,7,21,2.79,0.86,1.93
4,3,7,22,0.69,1.07,0
4,3,7,23,2.41,0.59,1.82
4,4,1,0,3.43,1.8,1.63
4,4,1,1,1.75,1.36,0.39
4,4,1,2,1.13,1.12,0.01
4,4,1,3,3.56,1.83,1.73
4,4,1,4,1.29,1.08,0.21
4,4,1,5,2.95,1.79,1.16
4,4,1,6,1.27,1.14,0.13
4,4,1,7,1.21,1.69,0
4,4,1,8,1.26,0.71,0.55
4,4,1,9,0.82,0.67,0.15
4,4,1,10,2.23,1.27,0.96
4,4,1,11,2.48,0.86,1.62
4,4,1,12,1.61,1.98,0
4,4,1,13,0.63,0.86,0
4,4,1,14,1.94,1.39,0.55
4,4,1,15,2.21,1.28,0.93
4,4,1,16,2.18,0.83,1.35
4,4,1,17,1.52,1.05,0.47
4,4,1,18,2.07,1.44,0.63
4,4,1,19,0.62,0.93,0
4,4,1,20,2.51,1.96,0.55
4,4,1,21,1.24,1.01,0.23
4,4,1,22,2.12,1.6,0.52
4,4,1,23,1.13,0.55,0.58
4,4,2,0,0.21,0.51,0
4,4,2,1,1.86,1.5,0.36
4,4,2,2,2.61,1.75,0.86
4,4,2,3,0.24,0.6,0
4,4,2,4,2.68,1.94,0.74
4,4,2,5,2.55,1.96,0.59
4,4,2,6,2.2,1.47,0.73
4,4,2,7,1.12,0.58,0.54
4,4,2,8,1.37,1.65,0
4,4,2,9,1.97,0.89,1.08
4,4,2,10,2.5,0.54,1.96
4,4,2,11,1.08,0.7,0.38
4,4,2,12,1.38,0.98,0.4
4,4,2,13,0.51,0.97,0
4,4,2,14,2.71,1.71,1
4,4,2,15,2.82,1.57,1.25
4,4,2,16,2.25,0.68,1.57
4,4,2,17,1.79,0.58,1.21
4,4,2,18,1.3,0.7,0.6
4,4,2,19,3.13,1.22,1.91
4,4,2,20,2.93,1.63,1.3
4,4,2,21,1.56,1.17,0.39
4,4,2,22,3.34,1.61,1.73
4,4,2,23,0.84,0.71,0.13
4,4,3,0,2.42,1.61,0.81
4,4,3,1,1.69,1.68,0.01
4,4,3,2,2.39,0.57,1.82
4,4,3,3,3.2,1.78,1.42
4,4,3,4,2.34,1.6,0.74
4,4,3,5,0.66,0.85,0
4,4,3,6,2.19,1.34,0.85
4,4,3,7,2.85,1.82,1.03
4,4,3,8,1.21,0.84,0.37
4,4,3,9,0.64,1.14,0
4,4,3,10,2.58,1.56,1.02
4,4,3,11,2.14,1.47,0.67
4,4,3,12,2.15,1.81,0.34
4,4,3,13,2,1.34,0.66
4,4,3,14,2.34,1.05,1.29
4,4,3,15,2.24,1.91,0.33
4,4,3,16,1.97,1.53,0.44
4,4,3,17,3.32,1.61,1.71
4,4,3,18,1.51,0.56,0.95
4,4,3,19,2.08,1.57,0.51
4,4,3,20,3.36,1.6,1.76
4,4,3,21,1.85,1.49,0.36
4,4,3,22,1.87,1.06,0.81
4,4,3,23,2.13,1.92,0.21
4,4,4,0,3.43,1.75,1.68
4,4,4,1,2.39,1.71,0.68
4,4,4,2,1.51,1.85,0
4,4,4,3,1.48,1.24,0.24
4,4,4,4,3.56,1.6,1.96
4,4,4,5,2.9,1.41,1.49
4,4,4,6,0.93,0.67,0.26
4,4,4,7,2.64,0.65,1.99
4,4,4,8,2.15,1.48,0.67
4,4,4,9,2.31,1.54,0.77
4,4,4,10,1.94,0.75,1.19
4,4,4,11,2.53,1.92,0.61
4,4,4,12,3.36,1.68,1.68
4,4,4,13,0.77,1.04,0
4,4,4,14,2.36,0.6,1.76
4,4,4,15,2.23,1.52,0.71
4,4,4,16,2.12,0.61,1.51
4,4,4,17,3.53,1.59,1.94
4,4,4,18,2.48,0.55,1.93
4,4,4,19,2.53,1.4,1.13
4,4,4,20,0.5,0.77,0
4,4,4,21,1.59,1.6,0
4,4,4,22,1.35,0.68,0.67
4,4,4,23,1.27,0.68,0.59
4,4,5,0,2.36,0.92,1.44
4,4,5,1,3.3,1.68,1.62
4,4,5,2,0.99,0.8,0.19
4,4,5,3,1.15,1.39,0
4,4,5,4,1.92,0.8,1.12
4,4,5,5,2.49,1.49,1
4,4,5,6,2.61,1.18,1.43
4,4,5,7,1.6,1.55,0.05
4,4,5,8,3.45,1.49,1.96
4,4,5,9,2.88,1.39,1.49
4,4,5,10,2.71,1.26,1.45
4,4,5,11,1.6,1.65,0
4,4,5,12,1.25,1.12,0.13
4,4,5,13,1.48,1.74,0
4,4,5,14,2.31,0.78,1.53
4,4,5,15,2.36,0.67,1.69
4,4,5,16,2.58,1.85,0.73
4,4,5,17,3.01,1.83,1.18
4,4,5,18,3.83,1.9,1.93
4,4,5,19,3.3,1.71,1.59
4,4,5,20,1.63,0.92,0.71
4,4,5,21,3.15,1.68,1.47
4,4,5,22,3.26,1.38,1.88
4,4,5,23,2.1,1.84,0.26
4,4,6,0,3.23,1.38,1.85
4,4,6,1,0.6,0.63,0
4,4,6,2,2.72,1.91,0.81
4,4,6,3,2.03,1.54,0.49
4,4,6,4,2.08,0.62,1.46
4,4,6,5,2.11,1.34,0.77
4,4,6,6,2.2,1.94,0.26
4,4,6,7,1.16,1.39,0
4,4,6,8,0.48,0.55,0
4,4,6,9,3.07,1.36,1.71
4,4,6,10,2.41,0.8,1.61
4,4,6,11,3.27,1.29,1.98
4,4,6,12,1.86,0.62,1.24
4,4,6,13,2.72,1.72,1
4,4,6,14,0.99,1.31,0
4,4,6,15,0.59,0.78,0
4,4,6,16,0.6,0.81,0
4,4,6,17,2.55,0.69,1.86
4,4,6,18,2.82,1.31,1.51
4,4,6,19,1.16,1.41,0
4,4,6,20,1.54,1.14,0.4
4,4,6,21,1.56,1.01,0.55
4,4,6,22,1.08,1.4,0
4,4,6,23,2.24,1.87,0.37
4,4,7,0,2.17,0.66,1.51
4,4,7,1,2.06,0.59,1.47
4,4,7,2,1.77,0.63,1.14
4,4,7,3,2.18,1.86,0.32
4,4,7,4,2.78,1.41,1.37
4,4,7,5,2.5,1.4,1.1
4,4,7,6,1.48,0.71,0.77
4,4,7,7,1.14,1.02,0.12
4,4,7,8,1.09,0.76,0.33
4,4,7,9,2.41,1.36,1.05
4,4,7,10,1.5,1.29,0.21
4,4,7,11,1.76,1.86,0
4,4,7,12,0.39,0.74,0
4,4,7,13,2.77,0.98,1.79
4,4,7,14,1.93,1.25,0.68
4,4,7,15,0.77,0.9,0
4,4,7,16,1.38,0.71,0.67
4,4,7,17,2.8,1.67,1.13
4,4,7,18,2.78,1.42,1.36
4,4,7,19,2.3,1.33,0.97
4,4,7,20,1.06,1.41,0
4,4,7,21,3.44,1.74,1.7
4,4,7,22,1.98,1.6,0.38
4,4,7,23,1.82,0.53,1.29
4,5,1,0,2.48,0.76,1.72
4,5,1,1,1.39,1.04,0.35
4,5,1,2,2.79,1.33,1.46
4,5,1,3,2.14,0.52,1.62
4,5,1,4,3.29,1.85,1.44
4,5,1,5,2.79,1.3,1.49
4,5,1,6,3.05,1.87,1.18
4,5,1,7,3.28,1.4,1.88
4,5,1,8,1.54,1.53,0.01
4,5,1,9,3.15,1.73,1.42
4,5,1,10,1.72,0.77,0.95
4,5,1,11,0.36,0.62,0
4,5,1,12,2.71,1.74,0.97
4,5,1,13,1.66,1.49,0.17
4,5,1,14,2.97,0.99,1.98
4,5,1,15,0.92,0.63,0.29
4,5,1,16,3.2,1.24,1.96
4,5,1,17,2.95,1.52,1.43
4,5,1,18,3.16,1.32,1.84
4,5,1,19,1.82,0.81,1.01
4,5,1,20,2.71,0.73,1.98
4,5,1,21,2.2,1.6,0.6
4,5,1,22,1.22,1.31,0
4,5,1,23,2.3,1.03,1.27
4,5,2,0,2.81,1.35,1.46
4,5,2,1,0.93,1.21,0
4,5,2,2,1.54,1.31,0.23
4,5,2,3,2.5,1.56,0.94
4,5,2,4,1.19,1.41,0
4,5,2,5,0.28,0.62,0
4,5,2,6,2.43,1.88,0.55
4,5,2,7,2.18,0.67,1.51
4,5,2,8,2.33,1.96,0.37
4,5,2,9,1.06,1.15,0
4,5,2,10,0.46,0.55,0
4,5,2,11,1.78,1.15,0.63
4,5,2,12,3.59,1.65,1.94
4,5,2,13,1.25,0.64,0.61
4,5,2,14,1.2,1.13,0.07
4,5,2,15,2.68,0.8,1.88
4,5,2,16,0.83,0.64,0.19
4,5,2,17,1.63,1.54,0.09
4,5,2,18,2.27,1.56,0.71
4,5,2,19,1.14,1.49,0
4,5,2,20,1.44,1.11,0.33
4,5,2,21,2.99,1.38,1.61
4,5,2,22,0.26,0.63,0
4,5,2,23,1.77,1.36,0.41
4,5,3,0,1.77,1.6,0.17
4,5,3,1,0.55,0.89,0
4,5,3,2,1.16,1.21,0
4,5,3,3,2.64,0.87,1.77
4,5,3,4,2.86,0.99,1.87
4,5,3,5,0.98,0.79,0.19
4,5,3,6,3.42,1.55,1.87
4,5,3,7,1.28,0.54,0.74
4,5,3,8,1.66,1.56,0.1
4,5,3,9,2.75,1.44,1.31
4,5,3,10,2.64,0.91,1.73
4,5,3,11,2.92,1.76,1.16
4,5,3,12,0.48,0.59,0
4,5,3,13,3.4,1.5,1.9
4,5,3,14,1.49,1.03,0.46
4,5,3,15,2.67,0.87,1.8
4,5,3,16,2.2,1.14,1.06
4,5,3,17,1.26,1.4,0
4,5,3,18,0.31,0.74,0
4,5,3,19,2.49,0.68,1.81
4,5,3,20,2.87,1.52,1.35
4,5,3,21,2.88,1.4,1.48
4,5,3,22,0.33,0.69,0
4,5,3,23,3.07,1.35,1.72
4,5,4,0,3.4,1.86,1.54
4,5,4,1,2.16,1.5,0.66
4,5,4,2,2.35,1.7,0.65
4,5,4,3,1.37,0.66,0.71
4,5,4,4,1.72,0.79,0.93
4,5,4,5,2.97,1.42,1.55
4,5,4,6,1.77,1.46,0.31
